OP;MARCA;ARTICULO;DESCRIPCION;RUBRO;STOCK_TXT;PVC;IVA;II;MKUP;PVL;OFF;IMAGEN_URL_1;IMAGEN_URL_2;IMAGEN_URL_3;IMAGEN_URL_4;IMAGEN_URL_5;NUEVO_INGRESO
5580;QUIK LOK;J/JM90-M-S;"Conector Plug Mono 1/4"" | Ángulo 90° | Clavija dorada | Cuerpo metálico | acabado Silver  |MCX6";Cables y Mangueras;>10;8842.043;0.21;0;0.45;15513.366;;https://todomusica.com.ar/29608-large_default/img.jpg;0;0;0;0;
5580;QUIK LOK;J/JS-M-B;Conector Plug Stereo TRS 6.3mm  | Clip de cable de plástico negro | Cuerpo metálico, acabado Plata | Clavija Dorada MCX6;Cables y Mangueras;>10;6642.99;0.21;0;0.45;11655.125;;https://todomusica.com.ar/29606-large_default/img.jpg;0;0;0;0;
5580;QUIK LOK;J/miniJS-F-B;Conector MiniJack Stereo TRS 3.5mm  |  Cuerpo metálico, acabado negro | Contacto Dorado MCX6;Cables y Mangueras;INGRESANDO;6093.218;0.21;0;0.45;10690.552;;https://todomusica.com.ar/29605-large_default/img.jpg;0;0;0;0;
5580;QUIK LOK;J/RCA-M-B;Conector RCA  | Clip de cable negro flexible | Cuerpo metálico, acabado Negro  | Contacto dorado MCX6;Cables y Mangueras;>10;5635.09;0.21;0;0.45;9886.765;;https://todomusica.com.ar/29604-large_default/img.jpg;0;0;0;0;
5580;QUIK LOK;J/RCA-M-S;Conector RCA  | Clip de cable negro flexible | Cuerpo metálico, acabado Plateado  | Contacto dorado MCX6;Cables y Mangueras;>10;6001.597;0.21;0;0.45;10529.801;;https://todomusica.com.ar/29603-large_default/img.jpg;0;0;0;0;
5580;QUIK LOK;JUST CH01200;Rollo de cable para Microfono |  x 100metros | ;Cables y Mangueras;>10;128278.43;0.21;0;0.45;225064.501;;;;;;;
5580;QUIK LOK;JUST JJ 3;Cable Plug-Plug | 3 Mts | Conectores Plug Mono TS 6.3mm, Acabado Negro | Cable 6.0 mm, revestimiento exterior PVC;Cables y Mangueras;INGRESANDO;17821.53;0.21;0;0.45;31267.876;;https://todomusica.com.ar/29598-large_default/img.jpg; https://todomusica.com.ar/29599-large_default/img.jpg; https://todomusica.com.ar/29600-large_default/img.jpg;0;0;
5580;QUIK LOK;JUST JJ 4.5;Cable Plug No balanceado  |4.5 Mts | Conectores Plug Mono TS 6.3mm, Acabado Negro | Cable 6.0 mm, revestimiento exterior PVC;Cables y Mangueras;INGRESANDO;20845.24;0.21;0;0.45;36572.976;;https://todomusica.com.ar/29595-large_default/img.jpg; https://todomusica.com.ar/29596-large_default/img.jpg; https://todomusica.com.ar/29597-large_default/img.jpg;0;0;
5580;QUIK LOK;JUST JJ 6;"Cable Plug-Plug | 6 Mts | Conectores Plug Mono TS 6.3mm, Acabado Negro | Cable 6.0 mm, revestimiento exterior PVC 
 
";Cables y Mangueras;INGRESANDO;23960.57;0.21;0;0.45;42038.824;;https://todomusica.com.ar/29592-large_default/img.jpg; https://todomusica.com.ar/29593-large_default/img.jpg; https://todomusica.com.ar/29594-large_default/img.jpg;0;0;
5580;QUIK LOK;JUST JR 3;"Cable Plug-Plug  Angular | 3 Mts | Conectores Plug Mono TS 6.3mm, Acabado Negro | Cable 6.0 mm, revestimiento exterior PVC 
";Cables y Mangueras;INGRESANDO;19241.75;0.21;0;0.45;33759.653;;https://todomusica.com.ar/29589-large_default/img.jpg; https://todomusica.com.ar/29590-large_default/img.jpg; https://todomusica.com.ar/29591-large_default/img.jpg;0;0;
